<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20/06/22;000000;124.05;131.5;123.6;131.29;65637580
21/06/22;000000;131.98;133.49;127.11;129.1;75189920
22/06/22;000000;127.88;133.21;126.03;133.11;67693510
23/06/22;000000;133.82;138.4;131.5;136.85;107981870
24/06/22;000000;137.19;138.3;135.21;137.76;45185200
27/06/22;000000;137.7;141.77;136.77;141.15;69806790
28/06/22;000000;141.76;142.35;138.5;139.99;54771750
29/06/22;000000;139.81;139.89;132.75;132.8;55124090
30/06/22;000000;132.5;135.44;123.55;125.2;91333370
01/07/22;000000;124.5;132;122.5;129.91;60560280
04/07/22;000000;129.1;132.8;127.16;131.43;47772880
05/07/22;000000;132;135.7;131.43;133.5;51576470
06/07/22;000000;133.43;137.1;132.5;134;47025990
07/07/22;000000;134.1;135.2;131.22;133.09;42980870
08/07/22;000000;133.16;133.98;130.9;133.3;27594700
11/07/22;000000;132.75;133.9;126.42;126.8;53657260
12/07/22;000000;126.6;129.35;124.2;129;57174340
13/07/22;000000;129.6;129.95;125.36;126;45871190
14/07/22;000000;125.95;128;124.61;125.9;41631700
15/07/22;000000;126.2;129.44;125.27;128.9;44919840
18/07/22;000000;130;130.64;127.25;128.11;35315600
19/07/22;000000;128;128.11;125.51;127.76;32335000
20/07/22;000000;128.12;129.2;126.16;126.44;34673960
21/07/22;000000;126.4;126.83;122.24;125.48;53582090
22/07/22;000000;125.52;129.1;125.03;128.82;46422190
25/07/22;000000;128.93;132;127.24;131.45;55831830
26/07/22;000000;132.04;133.9;131;132.9;50300050
27/07/22;000000;132.9;134.79;131.62;132.5;42456260
28/07/22;000000;133.01;133.49;130.1;131.72;40042950
29/07/22;000000;131.69;132.75;130.31;131.9;27767320
01/08/22;000000;131.77;131.77;127.34;127.34;44231460
02/08/22;000000;126.6;128.44;125.6;127.53;43884150
03/08/22;000000;128.06;129.15;126.27;126.85;30874750
04/08/22;000000;126.94;128.13;126.16;126.95;19529260
05/08/22;000000;127.5;127.58;122.24;122.4;61105370
08/08/22;000000;126.14;127.38;123.51;123.81;52606720
09/08/22;000000;123.9;126.5;122.3;126.4;37895140
10/08/22;000000;126.25;127.29;124.87;126.2;31865110
11/08/22;000000;126.88;126.97;123.07;123.45;30717890
12/08/22;000000;123.48;124.98;122.6;124.88;27133850
